Feature,SHAP_Importance,Rank_SHAP,LGBM_Importance,Feature_Category
FLAG_DOCUMENT_17,0.0,263,0,Risk Flag
FLAG_DOCUMENT_19,0.0,264,0,Risk Flag
FLAG_DOCUMENT_20,0.0,265,0,Risk Flag
FLAG_DOCUMENT_7,0.0,266,0,Risk Flag
FLAG_DOCUMENT_14,0.0,267,0,Risk Flag
FLAG_DOCUMENT_12,0.0,268,0,Risk Flag
FLAG_DOCUMENT_9,0.0,269,0,Risk Flag
FLAG_DOCUMENT_10,0.0,270,0,Risk Flag
FLAG_DOCUMENT_21,0.0,271,0,Risk Flag
FLAG_DOCUMENT_2,0.0,272,0,Risk Flag
INST_HIGH_LATE_FLAG,0.0,273,0,Installment
CC_HIGH_UTIL_FLAG,0.0,274,0,POS/CC History
