Model,Curve,X,Y,ROC_AUC,PR_AUC
Ensemble,PR,0.7478,0.1723,0.7874,0.2791
Ensemble,PR,0.7386,0.1752,0.7874,0.2791
Ensemble,PR,0.7299,0.1784,0.7874,0.2791
Ensemble,PR,0.7203,0.1816,0.7874,0.2791
Ensemble,PR,0.7093,0.1846,0.7874,0.2791
Ensemble,PR,0.6993,0.1881,0.7874,0.2791
Ensemble,PR,0.6882,0.1915,0.7874,0.2791
Ensemble,PR,0.6765,0.195,0.7874,0.2791
Ensemble,PR,0.6646,0.1987,0.7874,0.2791
Ensemble,PR,0.6522,0.2025,0.7874,0.2791
Ensemble,PR,0.6397,0.2066,0.7874,0.2791
Ensemble,PR,0.6263,0.2107,0.7874,0.2791
Ensemble,PR,0.6129,0.2151,0.7874,0.2791
Ensemble,PR,0.5983,0.2196,0.7874,0.2791
Ensemble,PR,0.5837,0.2245,0.7874,0.2791
Ensemble,PR,0.567,0.229,0.7874,0.2791
Ensemble,PR,0.55,0.2338,0.7874,0.2791
Ensemble,PR,0.5327,0.239,0.7874,0.2791
Ensemble,PR,0.5156,0.245,0.7874,0.2791
Ensemble,PR,0.4975,0.2512,0.7874,0.2791
Ensemble,PR,0.4787,0.2578,0.7874,0.2791
Ensemble,PR,0.4604,0.2657,0.7874,0.2791
Ensemble,PR,0.4401,0.2735,0.7874,0.2791
Ensemble,PR,0.419,0.282,0.7874,0.2791
Ensemble,PR,0.3979,0.2922,0.7874,0.2791
Ensemble,PR,0.3731,0.3013,0.7874,0.2791
Ensemble,PR,0.3487,0.3128,0.7874,0.2791
Ensemble,PR,0.323,0.326,0.7874,0.2791
Ensemble,PR,0.293,0.3378,0.7874,0.2791
Ensemble,PR,0.2623,0.3527,0.7874,0.2791
Ensemble,PR,0.2303,0.3713,0.7874,0.2791
Ensemble,PR,0.1962,0.395,0.7874,0.2791
Ensemble,PR,0.1592,0.4269,0.7874,0.2791
Ensemble,PR,0.1146,0.4589,0.7874,0.2791
Ensemble,PR,0.0661,0.5238,0.7874,0.2791
Ensemble,PR,0.0021,0.7183,0.7874,0.2791
